20

	29   25    26    27    28    29
	 
4  	 0     1     2     3     4     0

	9  	  5     6     7     8     9     5

14   10    11    12    13    14    10

	19 	  15    16    17    18    19    15

24   20    21    22    23    24    20

	29 	  25    26    27    28    29    25

	   0     1     2     3     4      0



0  ;0,0; 1, 5, 9, 4,29,25
1  ;1,0; 2, 6, 5, 0,25,26
2  ;2,0; 3, 7, 6, 1,26,27
3  ;3,0; 4, 8, 7, 2,27,28
4  ;4,0; 0, 9, 8, 3,28,29
5  ;0,1; 6,11,10, 9, 0, 1
6  ;1,1; 7,12,11, 5, 1, 2
7  ;2,1; 8,13,12, 6, 2, 3
8  ;3,1; 9,14,13, 7, 3, 4
9  ;4,1; 5,10,14, 8, 4, 0
10 ;0,2;11,15,19,14, 9, 5
11 ;1,2;12,16,15,10, 5, 6
12 ;2,2;13,17,16,11, 6, 7
13 ;3,2;14,18,17,12, 7, 8
14 ;4,2;10,19,18,13, 8, 9
15 ;0,3;16,21,20,19,10,11
16 ;1,3;17,22,21,15,11,12
17 ;2,3;18,23,22,16,12,13
18 ;3,3;19,24,23,17,13,14
19 ;4,3;15,20,24,18,14,10
20 ;0,4;21,25,29,24,19,19
21 ;1,4;22,26,25,20,15,16
22 ;2,4;23,27,26,21,16,17
23 ;3,4;24,28,27,22,17,18
24 ;4,4;20,29,28,23,18,19
25 ;0,5;26, 1, 0,29,20,21
26 ;1,5;27, 2, 1,25,21,22
27 ;2,5;28, 3, 2,26,22,23
28 ;3,5;29, 4, 3,27,23,24
29 ;4,5;25, 0, 4,28,24,20
